@id,@type,subClassOf,label,altLabel,elucidation,note,seeAlso
chameo:TransmissionElectronMicroscopy,owl:Class,chameo:Microscopy,Transmission Electron Microscopy,TEM,,,
temgo:BrightFieldImaging,owl:Class,chameo:TransmissionElectronMicroscopy,Bright Field Imaging,BF,,,
temgo:DarkFieldImaging,owl:Class,chameo:TransmissionElectronMicroscopy,Dark Field Imaging,DF,,,
temgo:ScanningTransmissionElectronMicroscopy,owl:Class,chameo:TransmissionElectronMicroscopy,Scanning Transmission Electron Microscopy,STEM,,,
temgo:HighResolutionTransmissionElectronMicroscopy,owl:Class,chameo:TransmissionElectronMicroscopy,High-Resolution Transmission Electron Microscopy,HRTEM,,,
temgo:SelectedAreaDiffraction,owl:Class,temgo:ElectronDiffraction,Selected Area Diffraction,SAD,,,
temgo:ConvergentBeamElectronDiffraction,owl:Class,chameo:TransmissionElectronMicroscopy,Convergen tBeam Electron Diffraction,CBED,,,
temgo:ElectronEnergyLossSpectroscopy,owl:Class,chameo:Spectroscopy,Electron Energy Loss Spectroscopy,EELS,,,
chameo:EnergyDispersiveXraySpectroscopy,owl:Class,chameo:Spectroscopy,Energy-Dispersive X-ray Spectroscopy,EDS,,,
temgo:ScanningPrecessionElectronDiffraction,owl:Class,temgo:ElectronDiffraction,Scanning Precession Electron Diffraction,SPED,,,
temgo:HighAngleAnnularDarkField,owl:Class,chameo:TransmissionElectronMicroscopy,High-Angle Annular Dark-Field,HAADF,,,
temgo:EELSMapping,owl:Class,,EELS Mapping,,,,
temgo:EDSMapping,owl:Class,,EDS Mapping,,,,
